shop_id,store_url,flyer_url,pdf_links,status
67e2d42ac1670104499c13b7,https://www.pampanorama.it/punti-vendita/bologna-novembre,N/A,"No flyer carousel found: Message: 
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795dc0 <unknown>
#2 0x57cab47e72e9 <unknown>
#3 0x57cab47e7471 <unknown>
#4 0x57cab4836014 <unknown>
#5 0x57cab480d10d <unknown>
#6 0x57cab483334b <unknown>
#7 0x57cab480ceb3 <unknown>
#8 0x57cab47d9108 <unknown>
#9 0x57cab47da271 <unknown>
#10 0x57cab4c8e69b <unknown>
#11 0x57cab4c92642 <unknown>
#12 0x57cab4c7ac2c <unknown>
#13 0x57cab4c931e4 <unknown>
#14 0x57cab4c5ee6f <unknown>
#15 0x57cab4cb3e38 <unknown>
#16 0x57cab4cb4016 <unknown>
#17 0x57cab4cc3c16 <unknown>
#18 0x7c6c452a1e2e <unknown>
#19 0x7c6c45333a4c <unknown>
",error
67e2d42ac1670104499c13bc,https://www.pampanorama.it/punti-vendita/pam-local-bologna-azeglio,N/A,"No flyer carousel found: Message: 
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795dc0 <unknown>
#2 0x57cab47e72e9 <unknown>
#3 0x57cab47e7471 <unknown>
#4 0x57cab4836014 <unknown>
#5 0x57cab480d10d <unknown>
#6 0x57cab483334b <unknown>
#7 0x57cab480ceb3 <unknown>
#8 0x57cab47d9108 <unknown>
#9 0x57cab47da271 <unknown>
#10 0x57cab4c8e69b <unknown>
#11 0x57cab4c92642 <unknown>
#12 0x57cab4c7ac2c <unknown>
#13 0x57cab4c931e4 <unknown>
#14 0x57cab4c5ee6f <unknown>
#15 0x57cab4cb3e38 <unknown>
#16 0x57cab4cb4016 <unknown>
#17 0x57cab4cc3c16 <unknown>
#18 0x7c6c452a1e2e <unknown>
#19 0x7c6c45333a4c <unknown>
",error
67e2d42ac1670104499c13c1,https://www.pampanorama.it/punti-vendita/pam-local-bologna-clavature,N/A,"No flyer carousel found: Message: 
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795dc0 <unknown>
#2 0x57cab47e72e9 <unknown>
#3 0x57cab47e7471 <unknown>
#4 0x57cab4836014 <unknown>
#5 0x57cab480d10d <unknown>
#6 0x57cab483334b <unknown>
#7 0x57cab480ceb3 <unknown>
#8 0x57cab47d9108 <unknown>
#9 0x57cab47da271 <unknown>
#10 0x57cab4c8e69b <unknown>
#11 0x57cab4c92642 <unknown>
#12 0x57cab4c7ac2c <unknown>
#13 0x57cab4c931e4 <unknown>
#14 0x57cab4c5ee6f <unknown>
#15 0x57cab4cb3e38 <unknown>
#16 0x57cab4cb4016 <unknown>
#17 0x57cab4cc3c16 <unknown>
#18 0x7c6c452a1e2e <unknown>
#19 0x7c6c45333a4c <unknown>
",error
67e2d42ac1670104499c13c6,https://www.pampanorama.it/punti-vendita/bologna-strada-maggiore,N/A,"No flyer carousel found: Message: 
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795dc0 <unknown>
#2 0x57cab47e72e9 <unknown>
#3 0x57cab47e7471 <unknown>
#4 0x57cab4836014 <unknown>
#5 0x57cab480d10d <unknown>
#6 0x57cab483334b <unknown>
#7 0x57cab480ceb3 <unknown>
#8 0x57cab47d9108 <unknown>
#9 0x57cab47da271 <unknown>
#10 0x57cab4c8e69b <unknown>
#11 0x57cab4c92642 <unknown>
#12 0x57cab4c7ac2c <unknown>
#13 0x57cab4c931e4 <unknown>
#14 0x57cab4c5ee6f <unknown>
#15 0x57cab4cb3e38 <unknown>
#16 0x57cab4cb4016 <unknown>
#17 0x57cab4cc3c16 <unknown>
#18 0x7c6c452a1e2e <unknown>
#19 0x7c6c45333a4c <unknown>
",error
67e2d42ac1670104499c13cb,https://www.pampanorama.it/punti-vendita/pam-local-bologna-s-stefano,N/A,"No flyer carousel found: Message: 
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795dc0 <unknown>
#2 0x57cab47e72e9 <unknown>
#3 0x57cab47e7471 <unknown>
#4 0x57cab4836014 <unknown>
#5 0x57cab480d10d <unknown>
#6 0x57cab483334b <unknown>
#7 0x57cab480ceb3 <unknown>
#8 0x57cab47d9108 <unknown>
#9 0x57cab47da271 <unknown>
#10 0x57cab4c8e69b <unknown>
#11 0x57cab4c92642 <unknown>
#12 0x57cab4c7ac2c <unknown>
#13 0x57cab4c931e4 <unknown>
#14 0x57cab4c5ee6f <unknown>
#15 0x57cab4cb3e38 <unknown>
#16 0x57cab4cb4016 <unknown>
#17 0x57cab4cc3c16 <unknown>
#18 0x7c6c452a1e2e <unknown>
#19 0x7c6c45333a4c <unknown>
",error
67e2d42ac1670104499c13d0,https://www.pampanorama.it/punti-vendita/bologna-irnerio,N/A,"No flyer carousel found: Message: 
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795dc0 <unknown>
#2 0x57cab47e72e9 <unknown>
#3 0x57cab47e7471 <unknown>
#4 0x57cab4836014 <unknown>
#5 0x57cab480d10d <unknown>
#6 0x57cab483334b <unknown>
#7 0x57cab480ceb3 <unknown>
#8 0x57cab47d9108 <unknown>
#9 0x57cab47da271 <unknown>
#10 0x57cab4c8e69b <unknown>
#11 0x57cab4c92642 <unknown>
#12 0x57cab4c7ac2c <unknown>
#13 0x57cab4c931e4 <unknown>
#14 0x57cab4c5ee6f <unknown>
#15 0x57cab4cb3e38 <unknown>
#16 0x57cab4cb4016 <unknown>
#17 0x57cab4cc3c16 <unknown>
#18 0x7c6c452a1e2e <unknown>
#19 0x7c6c45333a4c <unknown>
",error
67e2d42ac1670104499c13d5,https://www.pampanorama.it/punti-vendita/bologna-corticella,https://www.pampanorama.it/volantini/offerta-mango.html,No PDF found,no_pdf_found
67e2d42ac1670104499c13d5,https://www.pampanorama.it/punti-vendita/bologna-corticella,https://www.pampanorama.it/volantini/---.html?link=https%3A%2F%2Fpam.volantinopiu.com%2Fvolantino2090600pv2265.html,"Error: Message: invalid session id
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795c13 <unknown>
#2 0x57cab47d83bf <unknown>
#3 0x57cab480cfe6 <unknown>
#4 0x57cab4807836 <unknown>
#5 0x57cab4806965 <unknown>
#6 0x57cab475e928 <unknown>
#7 0x57cab4c8e69b <unknown>
#8 0x57cab4c92642 <unknown>
#9 0x57cab4c7ac2c <unknown>
#10 0x57cab4c931e4 <unknown>
#11 0x57cab4c5ee6f <unknown>
#12 0x57cab475d372 <unknown>
#13 0x7c6c4522a3b8 <unknown>
#14 0x7c6c4522a47b __libc_start_main
#15 0x57cab472656a _start
",error
67e2d42ac1670104499c13d5,https://www.pampanorama.it/punti-vendita/bologna-corticella,https://www.pampanorama.it/volantini/---.html?link=https%3A%2F%2Fpam.volantinopiu.com%2Fvolantino2096600pv2265.html,"Error: Message: invalid session id
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795c13 <unknown>
#2 0x57cab47d83bf <unknown>
#3 0x57cab480cfe6 <unknown>
#4 0x57cab4807836 <unknown>
#5 0x57cab4806965 <unknown>
#6 0x57cab475e928 <unknown>
#7 0x57cab4c8e69b <unknown>
#8 0x57cab4c92642 <unknown>
#9 0x57cab4c7ac2c <unknown>
#10 0x57cab4c931e4 <unknown>
#11 0x57cab4c5ee6f <unknown>
#12 0x57cab475d372 <unknown>
#13 0x7c6c4522a3b8 <unknown>
#14 0x7c6c4522a47b __libc_start_main
#15 0x57cab472656a _start
",error
67e2d42ac1670104499c13da,https://www.pampanorama.it/punti-vendita/bologna-berti-pichat,N/A,"Store page error: Message: invalid session id
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795c13 <unknown>
#2 0x57cab47d83bf <unknown>
#3 0x57cab480cfe6 <unknown>
#4 0x57cab4807836 <unknown>
#5 0x57cab4806965 <unknown>
#6 0x57cab475e928 <unknown>
#7 0x57cab4c8e69b <unknown>
#8 0x57cab4c92642 <unknown>
#9 0x57cab4c7ac2c <unknown>
#10 0x57cab4c931e4 <unknown>
#11 0x57cab4c5ee6f <unknown>
#12 0x57cab475d372 <unknown>
#13 0x7c6c4522a3b8 <unknown>
#14 0x7c6c4522a47b __libc_start_main
#15 0x57cab472656a _start
",error
67e2d42ac1670104499c13df,https://www.pampanorama.it/punti-vendita/bologna-murri,N/A,"Store page error: Message: invalid session id
Stacktrace:
#0 0x57cab4cc4d9a <unknown>
#1 0x57cab4795c13 <unknown>
#2 0x57cab47d83bf <unknown>
#3 0x57cab480cfe6 <unknown>
#4 0x57cab4807836 <unknown>
#5 0x57cab4806965 <unknown>
#6 0x57cab475e928 <unknown>
#7 0x57cab4c8e69b <unknown>
#8 0x57cab4c92642 <unknown>
#9 0x57cab4c7ac2c <unknown>
#10 0x57cab4c931e4 <unknown>
#11 0x57cab4c5ee6f <unknown>
#12 0x57cab475d372 <unknown>
#13 0x7c6c4522a3b8 <unknown>
#14 0x7c6c4522a47b __libc_start_main
#15 0x57cab472656a _start
",error
