shop_id,store_url,pdf_links,status
67e2d430c1670104499c15c9,https://www.pampanorama.it/punti-vendita/panorama-cassino,"['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67cead64974892.47738506.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/3/0632fed7d0fca8cbfd88e177cfd1c142.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/7/6/2e4b0b9bf4e5ac09e86a9046715a59ce.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/5/b44341167782c6565ae3309bbb204e1f.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/9/2262fd8bf73c42ebee0561e9e1ddc119.pdf']",success
67e2d430c1670104499c15ce,https://www.pampanorama.it/punti-vendita/pam-genova-archi,[],No flyers
67e2d430c1670104499c15d3,https://www.pampanorama.it/punti-vendita/pam-fiasella,[],No flyers
67e2d430c1670104499c15d8,https://www.pampanorama.it/punti-vendita/genova-galata,[],No flyers
67e2d430c1670104499c15dd,https://www.pampanorama.it/punti-vendita/genova-ruspoli,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d430c1670104499c15e2,https://www.pampanorama.it/punti-vendita/genova-lagaccio,"['https://resources.volantinopiu.it/flyer/2/0/9/0/6/9ef815e01d22772b45f14d18b3df4ab4.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/6/4308e97aba63e8a50a43585721d1673a.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/8/6de916e7fa77d8bc7bae1e3faf6b9bb0.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/7/0/55b45461e5868d406a4f1768610c039e.pdf']",success
67e2d431c1670104499c15e7,https://www.pampanorama.it/punti-vendita/genova-manuzio,"['https://resources.volantinopiu.it/flyer/2/0/9/0/6/9ef815e01d22772b45f14d18b3df4ab4.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/6/4308e97aba63e8a50a43585721d1673a.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/8/6de916e7fa77d8bc7bae1e3faf6b9bb0.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/7/0/55b45461e5868d406a4f1768610c039e.pdf']",success
67e2d431c1670104499c15ec,https://www.pampanorama.it/punti-vendita/genova-cantore,[],No flyers
67e2d431c1670104499c15f1,https://www.pampanorama.it/punti-vendita/pam-genova-ragazzi,[],No flyers
67e2d431c1670104499c15f6,https://www.pampanorama.it/punti-vendita/genova-chiaravagna,"['https://resources.volantinopiu.it/flyer/2/0/9/0/6/9ef815e01d22772b45f14d18b3df4ab4.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/6/4308e97aba63e8a50a43585721d1673a.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/8/6de916e7fa77d8bc7bae1e3faf6b9bb0.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/7/0/55b45461e5868d406a4f1768610c039e.pdf']",success
