Store Name,Address,Contact,Latitude,Longitude,Store URL
Sant'Anastasia Somma,"Via Somma, 74, Sant'Anastasia , NA","081 5315215, ",40.87043,14.41242,https://www.pampanorama.it/punti-vendita/sant-anastasia-via-somma
San Salvo San Rocco,"Via San Rocco, SNC, 66100 San Salvo , CH","0873 452541, ",42.05197,14.73417,https://www.pampanorama.it/punti-vendita/san-salvo-via-san-rocco-retail-pro
Pam Castellarano,"Centro commerciale Vittoria Via Radici Nord 31/T 42014 Castellarano (RE), Castellarano , Castellarano",", ",N/A,N/A,https://www.pampanorama.it/punti-vendita/pam-castellarano
San Giorgio Galante,"Via Galante, 38/50, 80046 San Giorgio A Cremano , NA","081 275173, ",40.82584,14.33594,https://www.pampanorama.it/punti-vendita/san-giorgio-via-galante-retail-pro
San Giorgio Manzoni,"Via Manzoni, 116/118, 80046 San Giorgio A C , NA","081 7714589, ",40.83737,14.34301,https://www.pampanorama.it/punti-vendita/san-giorgio-via-manzoni-retail-pro
San Giorgio a Cremano Cappiello,"Via Cappiello, 39, 80046 San Giorgio A Cremano , NA","081 6075764, ",40.82937,14.32678,https://www.pampanorama.it/punti-vendita/s-g-a-cremano-v-cappiello-retail-pro
Napoli Rubinacci,"Via Cupa Rubinacci, 103, 80147 Napoli , NA","0812561653, ",40.83574,14.33076,https://www.pampanorama.it/punti-vendita/napoli-via-rubinacci-retail-pro
San Giorgio Tufarelli,"Via Tufarelli, 78, 80046 San Giorgio A C , NA","081 5960059, ",40.84421,14.34622,https://www.pampanorama.it/punti-vendita/san-giorgio-via-tufarelli-retail-pro
Napoli Bartolo Longo,"Via Bartolo Longo, 298, 80147 Napoli , NA","081 5965451, ",40.84483,14.33866,https://www.pampanorama.it/punti-vendita/napoli-vi-bartolo-longo-retail-pro
S.Giovanni A Teduccio,"Via Delle Marinare, 222, 80146 Napoli , NA","081 5721988, ",40.83763,14.31342,https://www.pampanorama.it/punti-vendita/s-giovanni-a-teduccio-retail-pro
Napoli Cilea,"Via Francesco Cilea, 85/87/89, 80127 Napoli , NA","0813508750, ",40.84318,14.2241,https://www.pampanorama.it/punti-vendita/napoli-cilea-retail-pro
Pam Casalgrande,"Via Aldo Moro, 2 - 42013 Casalgrande (RE), Casalgrande , RE",", ",44.589649,10.739565,https://www.pampanorama.it/punti-vendita/pam-casalgrande
Napoli Sigmund Freud,"Sigmund Freud, 81/89, 80131 Napoli , NA","081 5457330, ",40.86035,14.21916,https://www.pampanorama.it/punti-vendita/napoli-via-sigmund-freud-retail-pro
Pam Cercola,"Via Silvio Pellico, 25 Cercola (NA), Cercola ,",", ",N/A,N/A,https://www.pampanorama.it/punti-vendita/pam-cercola
Napoli Volpicella,"Via Volpicella, 344, 80147 Napoli , NA","0815962165, ",40.8488,14.32472,https://www.pampanorama.it/punti-vendita/napoli-via-volpicella-retail-pro
Napoli C.P. Casanova,"Via Calata Ponte Casanova, 05/13, 80143 Napoli , NA","081 283976, ",40.857,14.27093,https://www.pampanorama.it/punti-vendita/napoli-via-c-p-casanova-retail-pro
Napoli Fiumicello,"Via Fiumicello A Loreto, 7, 80142 Napoli , NA","081 281081, ",40.847,14.26992,https://www.pampanorama.it/punti-vendita/napoli-via-fiumicello-retail-pro
Ottaviano San Leonardo,"Via S.Leonardo, 117, 80044 Ottaviano , NA","081 5289636, ",40.84755,14.48496,https://www.pampanorama.it/punti-vendita/ottaviano-san-leonardo-retail-pro
Napoli Caruso,"Via Severo Caruso, 4/8/10, 80129 Napoli , NA","810206295, ",40.84722,14.23204,https://www.pampanorama.it/punti-vendita/napoli-caruso-retail-pro
Vignola,"Via Falcone e Borsellino, 94, 41058 Vignola , MO","059/9772451, ",44.48889920,11.00189970,https://www.pampanorama.it/punti-vendita/vignola
Pianura - Napoli,"Via Parmenide - 4/6, Napoli, Napoli , NA","0815888956, ",40.854813,14.174683,https://www.pampanorama.it/punti-vendita/pianura-napoli
Napoli Francesco Arnaldi,"Via Francesco Arnaldi, 44/46, Napoli , NA",", ",40.85820,14.16774,https://www.pampanorama.it/punti-vendita/napoli-francesco-arnaldi
Parma,"Via Silvio Pellico, 20, 43100 Parma , PR","0521/947811, ",44.79370120,10.30480000,https://www.pampanorama.it/punti-vendita/parma
